	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.1755e-038	0.	0.	0.	
2	1.2641e-005	-3.8007e+007	-3.8007e+007	-3.8007e+007	
3	2.5088e-005	-2.9529e+007	-2.9529e+007	-2.9529e+007	
4	3.7535e-005	-2.2943e+007	-2.2943e+007	-2.2943e+007	
5	5.0141e-005	-1.7768e+007	-1.7768e+007	-1.7768e+007	
6	6.2588e-005	-1.3805e+007	-1.3805e+007	-1.3805e+007	
7	7.5035e-005	-1.0726e+007	-1.0726e+007	-1.0726e+007	
8	8.7641e-005	-8.3067e+006	-8.3067e+006	-8.3067e+006	
9	1.0009e-004	-2.5334e+007	-2.5334e+007	-2.5334e+007	
10	1.1253e-004	-6.755e+007	-6.755e+007	-6.755e+007	
11	1.2514e-004	-3.6636e+007	-3.6636e+007	-3.6636e+007	
12	1.3759e-004	-1.6431e+007	-1.6431e+007	-1.6431e+007	
13	1.5003e-004	-3.4169e+006	-3.4169e+006	-3.4169e+006	
14	1.6264e-004	70379	70384	70383	
15	1.7509e-004	54683	54690	54687	
16	1.8753e-004	42497	42504	42498	
17	2.0014e-004	-8.8154e+005	-8.8153e+005	-8.8153e+005	
18	2.1259e-004	5.1209e+005	5.1209e+005	5.1209e+005	
19	2.2504e-004	3.5222e+005	3.5222e+005	3.5222e+005	
20	2.3764e-004	2.1075e+005	2.1076e+005	2.1076e+005	
21	2.5009e-004	1.1612e+005	1.1613e+005	1.1613e+005	
