	Time [s]	Deformation Probe (Z) [m]	
1	1.1755e-038	0.	
2	2.5088e-005	-1.9458e-005	
3	5.0141e-005	-3.1661e-005	
4	7.5035e-005	-3.8968e-005	
5	1.0009e-004	-4.3067e-005	
6	1.2514e-004	-3.7269e-005	
7	1.5003e-004	-2.201e-005	
8	1.7509e-004	-7.3503e-006	
9	2.0014e-004	1.9505e-006	
10	2.2504e-004	2.7937e-005	
11	2.5009e-004	2.211e-005	
12	2.7514e-004	7.5794e-006	
13	3.0004e-004	-1.6646e-006	
14	3.2509e-004	-2.7672e-005	
15	3.5014e-004	-2.213e-005	
16	3.7504e-004	-7.6666e-006	
17	4.0009e-004	1.8319e-006	
18	4.2515e-004	2.767e-005	
19	4.5004e-004	2.2468e-005	
20	4.7509e-004	7.895e-006	
21	5.0015e-004	-1.6305e-006	
