	Time [s]	Force Reaction (X) [N]	Force Reaction (Y) [N]	Force Reaction (Z) [N]	Force Reaction (Total) [N]	
1	1.1755e-038	0.	0.	0.	0.	
2	1.2641e-005	0.	0.	0.	0.	
3	2.5088e-005	0.	0.	0.	0.	
4	3.7535e-005	0.	0.	0.	0.	
5	5.0141e-005	6.7129e-013	-3.4106e-012	25350	25350	
6	6.2588e-005	-2.4059e-012	9.0949e-013	68517	68517	
7	7.5035e-005	-1.2424e-007	2.8248e-007	53235	53235	
8	8.7641e-005	9.6841e-007	3.1769e-006	41228	41228	
9	1.0009e-004	1.0626e-006	-1.364e-006	32032	32032	
10	1.1253e-004	2.0584e-007	6.6706e-008	24888	24888	
11	1.2514e-004	9.9711e-007	-9.3022e-007	19274	19274	
12	1.3759e-004	-2.1613e-006	1.6731e-006	14975	14975	
13	1.5003e-004	5.2534e-007	5.541e-007	21512	21512	
14	1.6264e-004	-3.7109e-006	3.232e-006	52652	52652	
15	1.7509e-004	4.9992e-007	-1.1975e-006	12999	12999	
16	1.8753e-004	-4.6387e-007	-4.4087e-007	-11589	11589	
17	2.0014e-004	-1.8983e-006	4.2965e-007	-25991	25991	
18	2.1259e-004	2.0683e-006	5.9222e-008	-25008	25008	
19	2.2504e-004	2.1105e-006	-2.027e-006	-19431	19431	
20	2.3764e-004	1.7141e-006	-3.3103e-007	-15050	15050	
21	2.5009e-004	2.3065e-006	-2.1905e-006	-22107	22107	
