	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-2.2153e+007	-1.9608e+007	-4.1761e+007	2.3266e+007	-1.8495e+007	
2	6.25e-003	-2.2153e+007	-1.8791e+007	-4.0944e+007	2.0255e+007	-2.0689e+007	
3	1.25e-002	-2.2153e+007	-1.7974e+007	-4.0127e+007	1.5734e+007	-2.4393e+007	
4	1.875e-002	-2.2153e+007	-1.7157e+007	-3.931e+007	1.2267e+007	-2.7043e+007	
5	2.5e-002	-2.2153e+007	-1.634e+007	-3.8493e+007	1.1469e+007	-2.7024e+007	
6	3.125e-002	-2.2153e+007	-1.5523e+007	-3.7676e+007	8.7184e+006	-2.8957e+007	
7	3.75e-002	-2.2153e+007	-1.4706e+007	-3.6859e+007	8.0492e+006	-2.881e+007	
8	4.375e-002	-2.2153e+007	-1.3889e+007	-3.6042e+007	3.7841e+006	-3.2258e+007	
9	5.e-002	-2.2153e+007	-1.3072e+007	-3.5225e+007	1.8322e+006	-3.3393e+007	
10	5.625e-002	-2.2153e+007	-1.2255e+007	-3.4408e+007	2.2195e+006	-3.2188e+007	
11	6.25e-002	-2.2153e+007	-1.1438e+007	-3.3591e+007	4.8556e+005	-3.3105e+007	
12	6.875e-002	-2.2153e+007	-1.0621e+007	-3.2774e+007	8.8732e+005	-3.1886e+007	
13	7.5e-002	-2.2153e+007	-9.8042e+006	-3.1957e+007	-3.5942e+006	-3.5551e+007	
14	8.125e-002	-2.2153e+007	-8.9871e+006	-3.114e+007	-2.0123e+006	-3.3152e+007	
15	8.75e-002	-2.2153e+007	-8.1701e+006	-3.0323e+007	-6.3346e+006	-3.6657e+007	
16	9.375e-002	-2.2153e+007	-7.3531e+006	-2.9506e+007	-6.1487e+006	-3.5654e+007	
17	1.e-001	-2.2153e+007	-6.5361e+006	-2.8689e+007	-7.3184e+006	-3.6007e+007	
18	0.10625	-2.2153e+007	-5.7191e+006	-2.7872e+007	-9.2753e+006	-3.7147e+007	
19	0.1125	-2.2153e+007	-4.9021e+006	-2.7055e+007	-1.0293e+007	-3.7348e+007	
20	0.11875	-2.2153e+007	-4.0851e+006	-2.6238e+007	-1.0614e+007	-3.6851e+007	
21	0.125	-2.2153e+007	-3.2681e+006	-2.5421e+007	-1.2727e+007	-3.8148e+007	
22	0.13125	-2.2153e+007	-2.451e+006	-2.4604e+007	-1.4592e+007	-3.9196e+007	
23	0.1375	-2.2153e+007	-1.634e+006	-2.3787e+007	-1.5187e+007	-3.8974e+007	
24	0.14375	-2.2153e+007	-8.1701e+005	-2.297e+007	-1.5168e+007	-3.8137e+007	
25	0.15	-2.2153e+007	0.	-2.2153e+007	-1.5373e+007	-3.7526e+007	
26	0.15625	-2.2153e+007	8.1701e+005	-2.1336e+007	-1.4787e+007	-3.6123e+007	
27	0.1625	-2.2153e+007	1.634e+006	-2.0519e+007	-1.332e+007	-3.3838e+007	
28	0.16875	-2.2153e+007	2.451e+006	-1.9702e+007	-1.248e+007	-3.2181e+007	
29	0.175	-2.2153e+007	3.2681e+006	-1.8885e+007	-1.2855e+007	-3.1739e+007	
30	0.18125	-2.2153e+007	4.0851e+006	-1.8068e+007	-1.0897e+007	-2.8964e+007	
31	0.1875	-2.2153e+007	4.9021e+006	-1.725e+007	-8.5489e+006	-2.5799e+007	
32	0.19375	-2.2153e+007	5.7191e+006	-1.6433e+007	-9.5142e+006	-2.5948e+007	
33	0.2	-2.2153e+007	6.5361e+006	-1.5616e+007	-7.9014e+006	-2.3518e+007	
34	0.20625	-2.2153e+007	7.3531e+006	-1.4799e+007	1.597e+006	-1.3202e+007	
35	0.2125	-2.2153e+007	8.1701e+006	-1.3982e+007	1.1422e+007	-2.56e+006	
36	0.21875	-2.2153e+007	8.9871e+006	-1.3165e+007	1.3058e+007	-1.0695e+005	
37	0.225	-2.2153e+007	9.8042e+006	-1.2348e+007	1.2348e+007	-686.19	
38	0.23125	-2.2153e+007	1.0621e+007	-1.1531e+007	1.1531e+007	-0.75423	
39	0.2375	-2.2153e+007	1.1438e+007	-1.0714e+007	1.0714e+007	-7.8351e-005	
40	0.24375	-2.2153e+007	1.2255e+007	-9.8974e+006	9.8974e+006	-1.797e-010	
41	0.25	-2.2153e+007	1.3072e+007	-9.0804e+006	9.0804e+006	0.	
42	0.25625	-2.2153e+007	1.3889e+007	-8.2634e+006	8.2634e+006	0.	
43	0.2625	-2.2153e+007	1.4706e+007	-7.4463e+006	7.4463e+006	0.	
44	0.26875	-2.2153e+007	1.5523e+007	-6.6293e+006	6.6293e+006	0.	
45	0.275	-2.2153e+007	1.634e+007	-5.8123e+006	5.8123e+006	0.	
46	0.28125	-2.2153e+007	1.7157e+007	-4.9953e+006	4.9953e+006	0.	
47	0.2875	-2.2153e+007	1.7974e+007	-4.1783e+006	4.1783e+006	0.	
48	0.29375	-2.2153e+007	1.8791e+007	-3.3613e+006	3.3613e+006	0.	
49	0.3	-2.2153e+007	1.9608e+007	-2.5443e+006	2.5443e+006	0.	
