	Length [m]	Membrane [Pa]	Bending [Pa]	Membrane+Bending [Pa]	Peak [Pa]	Total [Pa]	
1	0.	-8.1274e+006	-1.7545e+007	-2.5673e+007	3.9113e+006	-2.1761e+007	
2	6.25e-003	-8.1274e+006	-1.6814e+007	-2.4942e+007	3.6272e+005	-2.4579e+007	
3	1.25e-002	-8.1274e+006	-1.6083e+007	-2.4211e+007	-6.6457e+006	-3.0856e+007	
4	1.875e-002	-8.1274e+006	-1.5352e+007	-2.348e+007	-1.0183e+007	-3.3663e+007	
5	2.5e-002	-8.1274e+006	-1.4621e+007	-2.2748e+007	-1.1905e+007	-3.4653e+007	
6	3.125e-002	-8.1274e+006	-1.389e+007	-2.2017e+007	-1.1795e+007	-3.3813e+007	
7	3.75e-002	-8.1274e+006	-1.3159e+007	-2.1286e+007	-9.8994e+006	-3.1186e+007	
8	4.375e-002	-8.1274e+006	-1.2428e+007	-2.0555e+007	-8.7186e+006	-2.9274e+007	
9	5.e-002	-8.1274e+006	-1.1697e+007	-1.9824e+007	-7.4206e+006	-2.7245e+007	
10	5.625e-002	-8.1274e+006	-1.0966e+007	-1.9093e+007	-6.8444e+006	-2.5938e+007	
11	6.25e-002	-8.1274e+006	-1.0235e+007	-1.8362e+007	-5.9167e+006	-2.4279e+007	
12	6.875e-002	-8.1274e+006	-9.5037e+006	-1.7631e+007	-6.0773e+006	-2.3708e+007	
13	7.5e-002	-8.1274e+006	-8.7726e+006	-1.69e+007	-6.0126e+006	-2.2913e+007	
14	8.125e-002	-8.1274e+006	-8.0416e+006	-1.6169e+007	-4.2573e+006	-2.0426e+007	
15	8.75e-002	-8.1274e+006	-7.3105e+006	-1.5438e+007	2.2106e+006	-1.3227e+007	
16	9.375e-002	-8.1274e+006	-6.5795e+006	-1.4707e+007	1.1415e+007	-3.2924e+006	
17	1.e-001	-8.1274e+006	-5.8484e+006	-1.3976e+007	1.3793e+007	-1.8322e+005	
18	0.10625	-8.1274e+006	-5.1174e+006	-1.3245e+007	1.3244e+007	-985.09	
19	0.1125	-8.1274e+006	-4.3863e+006	-1.2514e+007	1.2514e+007	0.	
20	0.11875	-8.1274e+006	-3.6553e+006	-1.1783e+007	1.1783e+007	0.	
21	0.125	-8.1274e+006	-2.9242e+006	-1.1052e+007	1.1052e+007	0.	
22	0.13125	-8.1274e+006	-2.1932e+006	-1.0321e+007	1.0321e+007	0.	
23	0.1375	-8.1274e+006	-1.4621e+006	-9.5895e+006	9.5895e+006	0.	
24	0.14375	-8.1274e+006	-7.3105e+005	-8.8585e+006	8.8585e+006	0.	
25	0.15	-8.1274e+006	0.	-8.1274e+006	8.1274e+006	0.	
26	0.15625	-8.1274e+006	7.3105e+005	-7.3964e+006	7.3964e+006	0.	
27	0.1625	-8.1274e+006	1.4621e+006	-6.6653e+006	6.6653e+006	0.	
28	0.16875	-8.1274e+006	2.1932e+006	-5.9343e+006	5.9343e+006	0.	
29	0.175	-8.1274e+006	2.9242e+006	-5.2032e+006	5.2032e+006	0.	
30	0.18125	-8.1274e+006	3.6553e+006	-4.4722e+006	4.4722e+006	0.	
31	0.1875	-8.1274e+006	4.3863e+006	-3.7411e+006	3.7411e+006	0.	
32	0.19375	-8.1274e+006	5.1174e+006	-3.0101e+006	3.0101e+006	0.	
33	0.2	-8.1274e+006	5.8484e+006	-2.279e+006	2.279e+006	0.	
34	0.20625	-8.1274e+006	6.5795e+006	-1.548e+006	1.548e+006	0.	
35	0.2125	-8.1274e+006	7.3105e+006	-8.169e+005	8.169e+005	0.	
36	0.21875	-8.1274e+006	8.0416e+006	-85850	85850	0.	
37	0.225	-8.1274e+006	8.7726e+006	6.452e+005	-6.452e+005	0.	
38	0.23125	-8.1274e+006	9.5037e+006	1.3763e+006	-1.3763e+006	0.	
39	0.2375	-8.1274e+006	1.0235e+007	2.1073e+006	-2.1073e+006	0.	
40	0.24375	-8.1274e+006	1.0966e+007	2.8384e+006	-2.8384e+006	0.	
41	0.25	-8.1274e+006	1.1697e+007	3.5694e+006	-3.5694e+006	0.	
42	0.25625	-8.1274e+006	1.2428e+007	4.3005e+006	-4.3005e+006	0.	
43	0.2625	-8.1274e+006	1.3159e+007	5.0315e+006	-5.0315e+006	0.	
44	0.26875	-8.1274e+006	1.389e+007	5.7626e+006	-5.7626e+006	0.	
45	0.275	-8.1274e+006	1.4621e+007	6.4936e+006	-6.4936e+006	0.	
46	0.28125	-8.1274e+006	1.5352e+007	7.2247e+006	-7.2247e+006	0.	
47	0.2875	-8.1274e+006	1.6083e+007	7.9557e+006	-7.9557e+006	0.	
48	0.29375	-8.1274e+006	1.6814e+007	8.6868e+006	-8.6868e+006	0.	
49	0.3	-8.1274e+006	1.7545e+007	9.4178e+006	-9.4178e+006	0.	
